Name,Chords,Category,Description
Infinite Loop,Ebmaj7 | Gm7 | Cm7 | F7,Lo-Fi,Soulful lo-fi staple.
Melancholy Night,Fm7 | Bb7 | Ebmaj7 | Abmaj7,Lo-Fi,Dreamy ii–V–I–IV.
Lo-Fi Sunrise,Gmaj7 | F#m7 | B7 | Em7,Lo-Fi,Jazzy with borrowed dominant.
Tape Hiss,Amaj7 | Dmaj7 | Bm7 | E9,Lo-Fi,Jazzy lo-fi turnaround.
Still Awake,Dm7 | G7 | Cmaj7 | Am7,Lo-Fi,Relaxed ii–V–I–vi.
Lo-Fi Rewind,Abmaj7 | Fm7 | Dbmaj7 | Eb7,Lo-Fi,Classic jazzy lo-fi cycle.
Standard 12-Bar Blues (C),C7|F7|C7|C7|F7|F7|C7|A7|D7|G7|C7|G7,Blues,"The foundation of blues music, classic 12-bar form with I7, IV7, V7."
Quick Change Blues (C),C7|F7|C7|C7|F7|F7|C7|A7|D7|G7|C7|G7,Blues,Same as standard 12-bar but with an early IV chord at bar 2.
Slow Blues (A),A7|D7|A7|A7|D7|D#dim7|A7|F#7|B7|E7|A7|E7,Blues,"Minor chromatic passing chords for emotional, slow blues feel."
Jazz Blues (Bb),Bb7|Eb7|Bb7|Gm7C7|Fm7|Bb7|Cm7F7|Bb7G7|Cm7F7,Blues/Jazz,Adds ii–V substitutions for a more complex jazz sound.
Minor Blues (Cm),Cm7|Fm7|Cm7|Cm7|Fm7|F#dim7|Cm7|Ab7|G7|Cm7G7,Blues/Minor,Classic minor blues with dim7 passing chord.
Stormy Monday Blues (G),G7|C9|G7|G7|C9|C#dim7|G7|E7#9|A9|D9|G7|D9,Blues/Jazz,T-Bone Walker’s jazz-inspired slow blues progression.
Chicago Shuffle Blues (E),E7|A7|E7|E7|A7|A7|E7|C#7|F#7|B7|E7|B7,Blues/Shuffle,"Standard Chicago electric blues shuffle, very common in rock."
Texas Blues (D),D7|G7|D7|D7|G7|G7|D7|A7|G7|D7|A7|D7,Blues,"Texas blues style, strong I7 emphasis."
Rock Blues (A),A5|D5|A5|A5|D5|D5|A5|E5|D5|A5|E5|A5,Blues/Rock,Power chord-based blues for rock/blues crossover.
Turnaround Blues (C),C7|A7|D7|G7,Blues/Turnaround,"Standard blues turnaround progression, resolves strongly back to I."
Classic 12-Bar Blues in G,G7|C7|G7|G7|C7|C7|G7|E7|A7|D7|G7|D7,Blues,"Standard 12-bar blues form, key of G."
Quick Change Blues in A,A7|D7|A7|A7|D7|D7|A7|F#7|B7|E7|A7|E7,Blues,"Blues with an early chord change, key of A."
Slow Blues in C,C7|F7|C7|C7|F7|F#dim7|C7|A7|D7|G7|C7|G7,Blues,"Slow drag-style blues, includes F#dim7 passing chord."
Chicago Blues in D,D7|G7|D7|D7|G7|G7|D7|B7|E7|A7|D7|A7,Blues,"Chicago-style shuffle progression, key of D."
Minor Blues in Am,Am7|Dm7|Am7|Am7|Dm7|Dm7|Am7|F7|E7|E7|Am7|E7,Blues,A minor blues progression often used in jazz and funk.
Jazz Blues in Bb,Bb7|Eb7|Bb7|Fm7Bb7|Eb7|Edim7|Bb7G7|Cm7F7|Bb7G7|Cm7F7,Blues/Jazz,Jazz-influenced blues with II-V cadences and substitutions.
Texas Blues in E,E7|A7|E7|E7|A7|A7|E7|C#7|F#7|B7|E7|B7,Blues,"Texas shuffle-style blues progression, key of E."
West Coast Blues in F,F7|Bb7|F7|F7|Bb7|Bdim7|F7|A7|D7|G7|C7|F7,Blues,"Jazzy, jump blues progression with diminished passing chord."
Delta Blues in Gm,Gm7|Cm7|Gm7|Gm7|Cm7|Cm7|Gm7|Eb7|D7|D7|Gm7|D7,Blues,"Dark, moody minor blues progression."
Gospel Blues in C,C7|F7|C7|C7|F7|F7|C7|A7|D7|G7|C7|G7,Blues/Gospel,Gospel-flavored blues with strong IV and V pull.
Standard 12-Bar Blues in C,C7|F7|C7|C7|F7|F7|C7|A7|D7|G7|C7|G7,Blues,"The classic 12-bar shuffle in C, foundational for all blues playing."
Quick Change Blues in G,G7|C7|G7|G7|C7|C7|G7|E7|A7|D7|G7|D7,Blues,"Quick change (I–IV in bar 2), adding harmonic motion."
Jazz-Blues in F,F7|Bb7|F7|Cm7F7|Bb7|Bdim7|F7|A7|D7|Gm7C7|F7D7|Gm7C7,Jazz Blues,Enriched with ii–V substitutions and passing chords.
Minor Blues in Am,Am7|Dm7|Am7|Am7|Dm7|Dm7|Am7|F7|E7|Dm7|Am7E7|Am7,Minor Blues,"Standard 12-bar minor blues, moody and darker."
Texas Blues in E,E7|A7|E7|E7|A7|A7|E7|C7|A7|B7|E7|B7,Blues,Driving shuffle with a classic Texas roadhouse feel.
Chicago Blues in D,D7|G7|D7|D7|G7|G#dim7|D7|B7|E7|A7|D7A7|D7,Blues,Incorporates chromatic diminished movement and turnarounds.
Slow Minor Blues in Gm,Gm7|C7|Gm7|Gm7|Cm7|Cm7|Gm7|Eb7|D7,Gm7 C7 | Gm7 D7 | Gm7,Minor Blues
Uptown Blues in Bb,Bb7|Eb7|Bb7|Bb7|Eb7|Edim7|Bb7|G7|C7|F7|Bb7F7|Bb7,Blues,A brighter blues with diminished and secondary dominants.
Country Blues in A,A7|D7|A7|A7|D7|D7|A7|F#7|B7|E7|A7E7|A7,Country Blues,"Typical country shuffle, often used with steel guitar."
Slow Blues in F#,F#7|B7|F#7|F#7|B7|B7|F#7|D7|G#7|C#7|F#7C#7|F#7,Blues,"A heavy, soulful slow blues form."
Standard 12-Bar Blues in C,C7|F7|C7|C7F7|F7|C7|A7D7|G7|C7|G7,Blues,"Classic 12-bar blues progression in C major, staple for countless blues songs."
Quick Change Blues in G,G7|C7|G7|G7C7|C7|G7|E7A7|D7|G7|D7,Blues,"Uses the quick change (IV in bar 2) for variety, key of G."
Minor Blues in Dm,Dm7|Gm7|Dm7|Dm7Gm7|Gm7|Dm7|A7Bb7|A7|Dm7|A7,Blues (Minor),"Minor 12-bar blues in D minor, often used in jazz-blues."
Jazz Blues in F,F7|Bb7|F7|Cm7F7Bb7|Bdim7|F7|A7D7|Gm7C7|F7|C7,Jazz Blues,"Adds ii–V turnarounds and passing chords, classic jazz-style blues."
Slow Blues in A,A7|D7|A7|A7D7|D7|A7|F#7B7|E7|A7|E7,Blues,"Slow expressive A blues, common in guitar-driven ballads."
Funky Blues in E,E7|A7|E7|E7A7|A7|E7|C#7F#7|B7|E7|B7,Blues (Funk),"Upbeat, funky blues in E, with dominant substitutions for groove."
Turnaround Blues in Bb,Bb7|Eb7|Bb7|F7Eb7|Edim7|Bb7|G7C7|F7|Bb7|F7,Blues,"Strong turnaround emphasis, Bb blues with chromatic approach chords."
Gospel-Style Blues in G,G7|C9|G7|Em7A7C9|C9|G7|E7Am7|D7|G7|D7,Blues (Gospel),"Incorporates gospel-inspired chords in G, very soulful."
Delta Blues in D,D7|G7|D7|D7G7|G7|D7|A7G7|D7|A7|D7,Blues (Delta),"Simple raw Delta blues feel in D, traditional bottleneck/slide vibe."
Stormy Monday Changes (T-Bone Walker style),G7|C9|G7|G7C9|C#dim7|G7|E7Am7|D9|G7|D9,Blues (Slow Jazz),"Based on “Stormy Monday”, chromatic & jazzy in G."
